"","day","method","sample","sample_no","time","accu","rps"
"44",2,"s",106,21,3.28,0.544910179640719,0.171691126244699
"45",4,"t",169,21,3.94999999999999,0.55688622754491,0.171728476655431
"46",4,"t",166,19,3.94999999999999,0.580838323353293,0.171730409980089
"47",4,"w",106,25,1.91999999999996,0.586826347305389,0.171759955326277
"48",3,"s",169,21,2.88,0.610778443113772,0.171831987234159
"49",4,"s",106,21,2.81,0.574850299401198,0.171856584095067
"50",4,"t",106,19,3.94999999999999,0.568862275449102,0.171859511167364
"51",4,"t",169,19,3.94999999999999,0.55688622754491,0.17187341442889
"52",3,"s",160,21,2.88,0.574850299401198,0.171933116282948
"53",3,"s",169,19,2.88,0.598802395209581,0.17197473630156
"54",2,"t",167,21,3.95,0.580838323353293,0.172028791025332
